Sentences,Tags
methods total 107 women clinical indication induction randomly assigned receive oral vaginal misoprostol,Population/Problem (element P)
patients her2 hr positive mbc labc randomized letrozole arm 31 letrozole trastuzumab arm 26 first-line treatment,Intervention and Comparison (element I and C)
statistical significance defined p-value 0 05,Not Relevant to the Evidence (Label N)
exclusion criteria included nephrotic proteinuria secondary malignant hypertension diastolic bp dbp 120 mm hg major cardiovascular event 3 months angina pectoris congestive heart disease york heart association class ii-iv uncontrolled arrhythmias ii-iii degree atrioventricular block steroids nonsteroidal anti-inflammatory cytotoxic drugs women childbearing potential contraception disease limit ability patient comply protocol requirements,Population/Problem (element P)
radial artery cannulation performed summarise radial puncture performed local anaesthesia subcutaneous 1 2% lidocaine 20-gauge needle 0022 inch hydrophilic guide-wire,Intervention and Comparison (element I and C)
difference respect birth weight median 1-min 5-min apgar scores incidence meconium admission neonatal intensive care unit nicu,Not Relevant to the Evidence (Label N)
infants fed usual manner 30 minutes 4 hours start study,Population/Problem (element P)
resumo,Not Relevant to the Evidence (Label N)
aim study compare safety efficacy oral misoprostol pge2 gel women prom term unfavorable bishop score,Population/Problem (element P)
ten patients misoprostol 22 patients placebo delivered cesarean,Intervention and Comparison (element I and C)
minimal lumen diameter mld change millimeters axis occurrences absolute axis individual nonpercutaneous transluminal coronary an- gioplasty stenoses 24 months study 77 mea- surable stenoses 72 stenoses,Outcome (element O)
exclusion criteria infants 1 congenital anomalies 2 severe periventricular/intraventricular hemorrhage grade iii 3 undergone minor major surgery 4 receiving sedation vasopressors analgesics control sedative medication pain responses 5 mothers positive drug abuse history pregnancy control effects pain responses 6 signs tissue breakdown inammation/necrosis heel tissue damage increases pain responsiveness52 tissue breakdown measured neonatal skin condition score38 infants score 5 excluded study,Population/Problem (element P)
396 patients study 5 intrauterine death leaving 391 women live fetus term underwent induction labour,Intervention and Comparison (element I and C)
primary endpoint composite all-cause death recurrent myocardial infarction mi heart failure ischemia-driven revascularization 12 months,Outcome (element O)
median 5 10 minutes apgar scores comparable neonatal resuscitation,Intervention and Comparison (element I and C)
multivariate analysis variables revealed signicant impact primary patency infragenicular bypass p=003 log-rank performed cox proportional-hazards model stepwise variable selection p<005 entry test poor run-off p=0046 presence critical limb ischaemia p=002,Outcome (element O)
advisable introduce pt program real practice adequate pharmacotherapy,Outcome (element O)
irbesartan change lvm detected subgroup initial elevated lvm consistent reductions voltage criteria lvh 6 months hypertension july 2004,Outcome (element O)
finally findings difference coronary heart disease angiotensin-receptor blockers 16 24 comparator,Outcome (element O)
participants chlorthalidone contacted clinic telephone 12 months annual scheduled visits 87 1% chlorthalidone diuretic 1 decreasing 80 5% 5 67 5% n=4387 diuretic ccb ace inhibitor 13 2% diuretic ccb 5 8% = 399 ace inhibitor 9 3% n=641,Intervention and Comparison (element I and C)
effects drugs tend additive dose ranges data illustrate options selecting lower-dose combination therapies effective highdose monotherapies,Outcome (element O)
patients randomly assigned echocardiography two-dimensional echocardiography performed acuson 128 imaging system day 1 thrombolysis thrombolysis hbo treatment day 2 3 weeks patients,Intervention and Comparison (element I and C)
baseline 1613 women met study criteria recruitment,Population/Problem (element P)
radial femoral access coronary intervention rival trial randomised parallel multicentre trial,Intervention and Comparison (element I and C)
difference ratings scale 1-10 questions,Not Relevant to the Evidence (Label N)
instituto de medicina integral professor fernando figueira study carried private nonprofit healthcare organization based recife pernambuco brazil,Not Relevant to the Evidence (Label N)
farmi french arterial access reopro myocardial infarction prospective randomised trial designed compare radial femoral approaches pci abciximab 5 french guidingcatheters ami,Population/Problem (element P)
study period patients intervention admitted hospital 44 69% = 001 major acute coronary event 24 55% = 0001,Outcome (element O)
primary induction outcome table 3,Not Relevant to the Evidence (Label N)
allhat study aceis concomitant -blockers diuretics,Outcome (element O)
major graft reinterventions occurred 17 fusion bioline patients 162% 31 patients 307% treated standard eptfe 033,Intervention and Comparison (element I and C)
carvedilol resolution overt heart failure,Intervention and Comparison (element I and C)
interaction treatment prior heart failure suggesting randomized atenolol hydrochlorothiazide strategy ncas outcomes randomized verapamil sr trandolapril strategy cas,Outcome (element O)
women written informed consent randomized 1 1 basis web-based computer-generated randomization sequence variable block size monitoring cardiotocography st analysis fetal ecg cardiotocography control,Intervention and Comparison (element I and C)
patients received 50 misoprostol orally vaginally 4 outcomes occurred cervix favorable amniotomy increased bishop score 3 spontaneous rupture membranes active labor,Intervention and Comparison (element I and C)
achieved 48% lower incidence fetal blood sampling previous trials,Outcome (element O)
instrument digital signalprocessing techniques automatic assessment st expert system 16 assessed observational clinical studies,Intervention and Comparison (element I and C)
effectiveness enhancing hrql reducing anxiety patients supports effectiveness rehabilitation approach picture intervention operate,Outcome (element O)
median chemotherapy duration study 18 weeks arms median cumulative dose drugs virtually identical design median dis epirubicin paclitaxel double dose-dense arm,Intervention and Comparison (element I and C)
oral misoprostol potential advantages compared vaginal misoprostol including ease administration avoidance repeated vaginal examinations,Outcome (element O)
differences intrapartum complications neonatal outcomes oral vaginal misoprostol 0 05,Outcome (element O)
median duration mechanical ventilation intensive care unit stay total hospital stay itt analysis table 3 analysis data,Outcome (element O)
fewer women delivered vaginally oral misoprostol compared dinoprostone relative risk 0 71 99% confidence interval 0 51 0 99,Outcome (element O)
major differences terms patient characteristics table 1,Outcome (element O)
progenitor cells isolated enriched ficoll-hypaque centrifugation procedures,Intervention and Comparison (element I and C)
time mace completion follow-up patients mace 19 3% patients fluvastatin 80% study treatment regimen lipidlowering drugs,Intervention and Comparison (element I and C)
written consent participants,Not Relevant to the Evidence (Label N)
study prospective double blind observational study conducted busy obstetric unit 5 000 annual deliveries on-site facilities emergency caesarean neonatal intensive care,Not Relevant to the Evidence (Label N)
study demonstrated oral misoprostol effective intracervical dinoprostone induction labor fraction cost difference fetal heart rate abnormalities,Outcome (element O)
